dept,course,instructor,abbrev_instructor
ANT,ANT322H1,Marcel Danesi,"Danesi, M."
ANT,ANT484H1,Prakruti Dave,"Dave, P."
ANT,ANT362H1,Prakruti Dave,"Dave, P."
ANT,ANT438H1,Kate Decter,"Decter, K."
ANT,ANT100Y1,T Friesen,"Friesen, T."
ANT,ANT100Y1,T Friesen,"Friesen, T."
ANT,ANT356H1,Gillian Gillison,"Gillison, G."
ANT,ANT100Y1,Ivan Kalmar,"Kalmar, I."
ANT,ANT100Y1,Ivan Kalmar,"Kalmar, I."
ANT,ANT100Y1,Shawn Lehman,"Lehman, S."
ANT,ANT100Y1,Shawn Lehman,"Lehman, S."
ANT,ANT333Y1,Shawn Lehman,"Lehman, S."
ANT,ANT380H1,Heather Mellquist,"Mellquist, H."
ANT,ANT200Y1,Anna Patton,"Patton, A."
ANT,ANT370H1,Johanna Pokorny,"Pokorny, J."
ANT,ANT386H1,Valentina Napolitano,"Napolitano, V."
ANT,ANT472H1,Shiho Satsuka,"Satsuka, S."
ANT,ANT208H1,Daniel Sellen,"Sellen, D."
ANT,ANT341H1,Wen-Ching Sung,"Sung, W."
ANT,ANT336H1,T. Viola,"Viola, T."
ANT,ANT203Y1,T. Viola,"Viola, T."
ABS,ABS201Y1,Jill Carter,"Carter, J."
ABS,ABS201Y1,Jill Carter,"Carter, J."
ABS,ABS230H1,Alana Johns,"Johns, A."
ABS,ABS250H1,Melanie Jeffrey,"Jeffrey, M."
ABS,ABS302H1,Jean-Paul Restoule,"Restoule, J."
ABS,ABS341H1,Jill Carter,"Carter, J."
ABS,ABS352H1,Angela Mashford-Pringle,"Mashford-Pringle, A."
ABS,ABS355H1,Angela Mashford-Pringle,"Mashford-Pringle, A."
ABS,ABS390H1,Deborah McGregor,"McGregor, D."
ABS,ABS403H1,Angela Mashford-Pringle,"Mashford-Pringle, A."
JFP,JFP450H1,David Burman,"Burman, D."
ABS,ABS201Y1,Rauna Kuokkanen,"Kuokkanen, R."
ABS,ABS201Y1,Rauna Kuokkanen,"Kuokkanen, R."
ABS,ABS205H1,Angela Mashford-Pringle,"Mashford-Pringle, A."
ABS,ABS210Y1,Alex McKay,"McKay, A."
ABS,ABS300Y1,Lee Maracle,"Maracle, L."
ABS,ABS301Y1,Jill Carter,"Carter, J."
ABS,ABS322H1,Lee Maracle,"Maracle, L."
ABS,ABS350H1,Angela Mashford-Pringle,"Mashford-Pringle, A."
ABS,ABS402H1,Deborah McGregor,"McGregor, D."
ABS,ABS302H1,Jill Carter,"Carter, J."
ABS,ABS300Y1,Lee Maracle,"Maracle, L."
ABS,ABS201Y1,Jason Kelly,"Kelly, J."
ABS,ABS261H1,Brenda Wastasecoot,"Wastasecoot, B."
ABS,ABS261H1,Brenda Wastasecoot,"Wastasecoot, B."
ABS,ABS403H1,Angela Mashford-Pringle,"Mashford-Pringle, A."
ABS,ABS201Y1,Heather Shpuniarsky,"Shpuniarsky, H."
ABS,ABS261H1,Brenda Wastasecoot,"Wastasecoot, B."
ABS,ABS350H1,Julie Bull,"Bull, J."
ABS,ABS351Y1,Alex McKay,"McKay, A."
ABS,ABS353H1,Rauna Kuokkanen,"Kuokkanen, R."
ABS,ABS390H1,Gillian Austin,"Austin, G."
JFP,JFP450H1,David Burman,"Burman, D."
ABS,ABS300Y1,Lee Maracle,"Maracle, L."
